station,pred,datum,temperatur,nederbordsmangd,vindriktning,vindhastighet,lufttryck,daggpunktstemperatur,month,lag_temperatur
Station_1,126.10497976223441,2017-02-15,2.7,0.1,194.41666666666666,3.0250000000000004,1022.8375,1.504166666666667,2,0.8
Station_1,119.71314353997793,2017-02-16,3.5,1,264.0416666666667,1.804166666666666,1017.8125,3.4000000000000004,2,2.7
Station_1,117.09654828556965,2017-02-17,2.1,0.5,244.20833333333334,2.7750000000000004,1020.5708333333331,1.9791666666666667,2,3.5
Station_1,120.99669709276883,2017-02-18,4.6,1.3,233.70833333333334,3.891666666666666,1011.9,4.075000000000001,2,2.1
Station_1,113.12838932372448,2017-02-19,6.2,9.1,246.20833333333334,5.883333333333333,1000.1250000000003,5.395833333333333,2,4.6
Station_1,108.461867858162,2017-02-20,5.7,6.9,272.75,6.058333333333333,999.3499999999999,2.4749999999999996,2,6.2
Station_1,110.00382548530273,2017-02-21,5.8,0.4,237.5,6.791666666666665,988.2874999999999,2.6166666666666667,2,5.7
Station_1,108.9389406549558,2017-02-22,3,12.9,200.83333333333334,4.450000000000001,985.8833333333333,1.1541666666666666,2,5.8
Station_1,118.39176597078419,2017-02-23,0.2,0,262.2083333333333,3.7708333333333335,999.4666666666668,-2.0125,2,3
Station_1,128.74871837739823,2017-02-24,0.5,7,224.70833333333334,3.8166666666666664,1010.5666666666666,-0.11666666666666681,2,0.2
Station_1,124.48817090835719,2017-02-25,5.6,3.4,236.20833333333334,3.7291666666666674,1001.65,5.558333333333334,2,0.5
Station_1,110.21381049288145,2017-02-26,6.6,0.4,182,4.470833333333333,998.333333333333,5.708333333333333,2,5.6
Station_1,106.97508912964072,2017-02-27,4.9,1.1,182.45833333333334,5.145833333333335,987.1166666666668,2.779166666666667,2,6.6
Station_1,112.48448808998337,2017-02-28,4.7,1.8,213.25,5.387499999999999,992.0666666666666,2.079166666666667,2,4.9
Station_1,106.58500861201671,2017-03-01,3.1,1.3,214.25,2.6375,997.6750000000001,1.895833333333333,3,4.7
